"snid","timestamp [UNIX]","sntime","T_air [°C]","T_soil [°C]","H_air [%RH]","H_soil [%RH]","x_nt","x_vs","x_bat","x_art","x_rst","x_ic","x_adc","x_usart","fault"
"41B9FFD8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41B9FFD8",1,0,0,0,0,0,0,0.02,0,0,0,0,0.04,0,0
"41B9FFD8",2,0,0,72.25,0,0,0,0.01,0.02,0,0,0,0,0,1
"41B9FFD8",3,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0
"41B9FFD8",4,0,0,0,0,0,0,0.04,0.01,0,0,0,0.02,0,0
"41B9FFD8",5,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0
"41B9FFD8",6,0,0,72.25,0,0,0,0.02,0.01,0,0,0,0,0,1
"41B9FFD8",7,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0
"41B9FFD8",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
