dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
results/base_-_indoor_-_room_airing-faulty-13-iforest_ext.csv,-,10078,62,8066,1946,4,0.94,0.81,0.81,0.06
results/base_-_outdoor_-_heavy_rain-faulty-12-iforest_ext.csv,-,1002,21,855,99,27,0.44,0.9,0.87,0.25
results/base_-_indoor_-_stable-faulty-7-iforest_ext.csv,-,997,28,890,74,5,0.85,0.92,0.92,0.41
results/base_-_indoor_-_stable-faulty-4-iforest_ext.csv,-,997,58,861,59,19,0.75,0.94,0.92,0.6
results/base_-_indoor_-_stable-faulty-16-iforest_ext.csv,-,997,35,885,43,34,0.51,0.95,0.92,0.48
results/base_-_indoor_-_room_airing-faulty-12-iforest_ext.csv,-,10078,32,8258,1786,2,0.94,0.82,0.82,0.03
results/base_-_outdoor_-_heavy_rain-faulty-2-iforest_ext.csv,-,1002,30,833,103,36,0.45,0.89,0.86,0.3
results/base_-_indoor_-_stable-faulty-1-iforest_ext.csv,-,997,54,878,54,11,0.83,0.94,0.93,0.62
results/base_-_indoor_-_room_airing-faulty-11-iforest_ext.csv,-,10078,9,8208,1861,0,1,0.82,0.82,0.01
results/base_-_outdoor_-_heavy_rain-faulty-9-iforest_ext.csv,-,1002,36,806,115,45,0.44,0.88,0.84,0.31
results/base_-_outdoor_-_heavy_rain-faulty-14-iforest_ext.csv,-,1002,30,861,89,22,0.58,0.91,0.89,0.35
results/base_-_indoor_-_stable-faulty-14-iforest_ext.csv,-,997,28,883,35,51,0.35,0.96,0.91,0.39
results/base_-_indoor_-_stable-faulty-12-iforest_ext.csv,-,997,41,892,52,12,0.77,0.94,0.94,0.56
