dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
results/base_-_outdoor_-_heavy_rain-faulty-6-storm_ext.csv,-,1002,34,804,127,37,0.48,0.86,0.84,0.29
results/base_-_outdoor_-_heavy_rain-faulty-15-storm_ext.csv,-,1002,14,805,146,37,0.27,0.85,0.82,0.13
results/base_-_indoor_-_stable-faulty-19-storm_ext.csv,-,997,45,869,81,2,0.96,0.91,0.92,0.52
results/base_-_outdoor_-_heavy_rain-faulty-9-storm_ext.csv,-,1002,27,778,143,54,0.33,0.84,0.8,0.22
results/base_-_outdoor_-_heavy_rain-faulty-13-storm_ext.csv,-,1002,1,832,157,12,0.08,0.84,0.83,0.01
results/base_-_outdoor_-_heavy_rain-faulty-19-storm_ext.csv,-,1002,2,832,164,4,0.33,0.84,0.83,0.02
results/base_-_indoor_-_room_airing-faulty-7-storm_ext.csv,-,10078,77,8884,1117,0,1,0.89,0.89,0.12
results/base_-_indoor_-_room_airing-faulty-6-storm_ext.csv,-,10078,72,9020,986,0,1,0.9,0.9,0.13
results/base_-_outdoor_-_heavy_rain-faulty-18-storm_ext.csv,-,1002,12,816,157,17,0.41,0.84,0.83,0.12
results/base_-_outdoor_-_heavy_rain-faulty-17-storm_ext.csv,-,1002,28,772,138,64,0.3,0.85,0.8,0.22
results/base_-_indoor_-_stable-faulty-1-storm_ext.csv,-,997,57,880,52,8,0.88,0.94,0.94,0.66
