dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
results/base_-_indoor_-_stable-faulty-10-rrcf_ext.csv,-,997,31,879,87,0,1,0.91,0.91,0.42
results/base_-_indoor_-_room_airing-faulty-18-rrcf_ext.csv,-,10078,64,9184,821,9,0.88,0.92,0.92,0.13
results/base_-_indoor_-_stable-faulty-7-rrcf_ext.csv,-,997,25,861,103,8,0.76,0.89,0.89,0.31
results/base_-_indoor_-_stable-faulty-6-rrcf_ext.csv,-,997,11,890,95,1,0.92,0.9,0.9,0.19
results/base_-_indoor_-_stable-faulty-4-rrcf_ext.csv,-,997,36,872,48,41,0.47,0.95,0.91,0.45
results/base_-_indoor_-_room_airing-faulty-9-rrcf_ext.csv,-,10078,38,9195,838,7,0.84,0.92,0.92,0.08
results/base_-_outdoor_-_heavy_rain-faulty-1-rrcf_ext.csv,-,1002,28,810,112,52,0.35,0.88,0.84,0.25
results/base_-_indoor_-_stable-faulty-19-rrcf_ext.csv,-,997,30,873,77,17,0.64,0.92,0.91,0.39
results/base_-_indoor_-_stable-faulty-11-rrcf_ext.csv,-,997,23,857,95,22,0.51,0.9,0.88,0.28
results/base_-_outdoor_-_heavy_rain-faulty-13-rrcf_ext.csv,-,1002,2,811,178,11,0.15,0.82,0.81,0.02
results/base_-_indoor_-_room_airing-faulty-11-rrcf_ext.csv,-,10078,9,9073,996,0,1,0.9,0.9,0.02
results/base_-_indoor_-_room_airing-faulty-5-rrcf_ext.csv,-,10078,9,9112,956,1,0.9,0.91,0.91,0.02
results/base_-_outdoor_-_heavy_rain-faulty-5-rrcf_ext.csv,-,1002,3,848,151,0,1,0.85,0.85,0.04
