dec,volt [V],current [mA],power [mW]
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.2,14.301000000000002
244,3.4090000000000003,3.8000000000000003,12.954200000000002
244,3.4090000000000003,4.4,14.999600000000003
244,3.4050000000000002,2.9000000000000004,9.874500000000001
244,3.4050000000000002,4.5,15.322500000000002
244,3.4090000000000003,4.2,14.317800000000002
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,3.5,11.9175
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.4,14.982000000000003
244,3.4090000000000003,4.3,14.6587
244,3.4050000000000002,3.9000000000000004,13.279500000000002
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.4,14.982000000000003
244,3.4090000000000003,1.3,4.4317
244,3.4050000000000002,4.2,14.301000000000002
244,3.4090000000000003,4.4,14.999600000000003
244,3.4050000000000002,1.3,4.426500000000001
244,3.4050000000000002,4.2,14.301000000000002
244,3.4090000000000003,4.4,14.999600000000003
244,3.4050000000000002,1.7000000000000002,5.788500000000001
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,1.7000000000000002,5.788500000000001
244,3.4050000000000002,2.1,7.150500000000001
244,3.4050000000000002,1.4000000000000001,4.767000000000001
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.0,13.620000000000001
244,3.4050000000000002,4.5,15.322500000000002
244,3.4090000000000003,4.3,14.6587
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.5,15.322500000000002
244,3.4050000000000002,4.5,15.322500000000002
244,3.4090000000000003,3.2,10.908800000000001
244,3.4050000000000002,4.0,13.620000000000001
244,3.4090000000000003,4.4,14.999600000000003
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.4,14.982000000000003
244,3.4090000000000003,4.3,14.6587
244,3.4050000000000002,4.0,13.620000000000001
244,3.4090000000000003,3.1,10.567900000000002
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.2,14.301000000000002
244,3.4050000000000002,4.4,14.982000000000003
244,3.4090000000000003,4.1000000000000005,13.976900000000002
244,3.4050000000000002,4.2,14.301000000000002
244,3.4050000000000002,4.3,14.6415
244,3.4090000000000003,4.4,14.999600000000003
244,3.4050000000000002,4.4,14.982000000000003
244,3.4090000000000003,4.1000000000000005,13.976900000000002
244,3.4090000000000003,4.4,14.999600000000003
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,1.4000000000000001,4.767000000000001
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,3.8000000000000003,12.939000000000002
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.0,13.620000000000001
244,3.4090000000000003,4.6000000000000005,15.681400000000004
244,3.4050000000000002,4.6000000000000005,15.663000000000004
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,1.8,6.1290000000000004
244,3.4050000000000002,4.2,14.301000000000002
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,3.9000000000000004,13.279500000000002
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.2,14.301000000000002
244,3.4050000000000002,4.5,15.322500000000002
244,3.4050000000000002,1.7000000000000002,5.788500000000001
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,1.4000000000000001,4.767000000000001
244,3.4050000000000002,4.3,14.6415
244,3.4090000000000003,3.3000000000000003,11.249700000000002
244,3.4050000000000002,4.5,15.322500000000002
244,3.4050000000000002,1.7000000000000002,5.788500000000001
244,3.4050000000000002,4.2,14.301000000000002
244,3.4050000000000002,4.5,15.322500000000002
244,3.4050000000000002,4.1000000000000005,13.960500000000003
244,3.4090000000000003,1.7000000000000002,5.795300000000001
244,3.4050000000000002,1.5,5.1075
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,3.9000000000000004,13.279500000000002
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.4,14.982000000000003
244,3.4090000000000003,1.8,6.1362000000000005
244,3.4050000000000002,1.7000000000000002,5.788500000000001
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,2.4000000000000004,8.172000000000002
244,3.4050000000000002,4.4,14.982000000000003
244,3.4090000000000003,4.2,14.317800000000002
244,3.4050000000000002,4.5,15.322500000000002
244,3.4090000000000003,4.4,14.999600000000003
244,3.4050000000000002,4.1000000000000005,13.960500000000003
244,3.4050000000000002,4.6000000000000005,15.663000000000004
244,3.4090000000000003,4.3,14.6587
244,3.4050000000000002,4.1000000000000005,13.960500000000003
244,3.4050000000000002,2.0,6.8100000000000005
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,3.5,11.9175
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.2,14.301000000000002
244,3.4050000000000002,2.0,6.8100000000000005
244,3.4050000000000002,2.5,8.512500000000001
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.4,14.982000000000003
244,3.4090000000000003,3.9000000000000004,13.295100000000001
244,3.4050000000000002,4.2,14.301000000000002
244,3.4050000000000002,4.1000000000000005,13.960500000000003
244,3.4090000000000003,4.4,14.999600000000003
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,3.8000000000000003,12.939000000000002
244,3.4090000000000003,2.2,7.499800000000001
244,3.4050000000000002,4.3,14.6415
244,3.4090000000000003,1.7000000000000002,5.795300000000001
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.1000000000000005,13.960500000000003
244,3.4050000000000002,4.4,14.982000000000003
244,3.4050000000000002,4.2,14.301000000000002
244,3.4050000000000002,1.4000000000000001,4.767000000000001
244,3.4050000000000002,4.2,14.301000000000002
244,3.4050000000000002,3.6,12.258000000000001
244,3.4050000000000002,4.2,14.301000000000002
244,3.4050000000000002,4.3,14.6415
244,3.4050000000000002,3.8000000000000003,12.939000000000002
244,3.4050000000000002,4.5,15.322500000000002
244,3.4090000000000003,1.7000000000000002,5.795300000000001
244,3.4090000000000003,4.4,14.999600000000003
